#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;True;True;unity;DeviceLocationProvider;20180524-163716.930;20180524-163718.000;60.19147000;24.96636770;3.0;190.4;141.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163717.434;20180524-163718.000;60.19147000;24.96636770;3.0;190.4;217.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163717.934;20180524-163719.000;60.19145580;24.96637000;3.0;188.2;253.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163718.432;20180524-163719.000;60.19145580;24.96637000;3.0;188.2;235.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163718.934;20180524-163720.000;60.19144000;24.96637730;3.0;180.6;191.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163719.421;20180524-163720.000;60.19144000;24.96637730;3.0;180.6;156.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163719.929;20180524-163721.000;60.19142530;24.96638490;4.0;170.7;197.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163720.434;20180524-163721.000;60.19142530;24.96638490;4.0;170.7;237.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163720.937;20180524-163722.000;60.19141000;24.96639250;4.0;158.0;50.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163721.437;20180524-163722.000;60.19141000;24.96639250;4.0;158.0;314.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163721.920;20180524-163723.000;60.19140000;24.96641000;4.0;145.5;24.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163722.421;20180524-163723.000;60.19140000;24.96641000;4.0;145.5;0.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
